provider,website,fund_name,region,country,location,organisation_type,provision,investment_term,loans_rate,min_size,max_size,focus,last_updated,status
Unltd,https://unltd.org.uk/buildit/,Build It Awards,United Kingdom,"England, Scotland, Wales, Ireland",,Individuals,Grant,,,,,"You are ready to grow to a local or regional scale
You have strong local or regional networks
You have a commitment to delivering local or regional impact
Your Idea
Your venture is dynamic and successful and has been running for at least one year
You have track record of creating social impact
You have a strong vision for the long term development of your venture
Our support will help you reach the next level ",01 December 2014,Open
Unltd,https://unltd.org.uk/fast-growth/,Fast Growth Awards,United Kingdom,"England, Scotland, Wales, Ireland",,Individuals,Grant,,,,20000,"Fast Growth is an intensive accelerator programme providing £20K of grant funding and 12 months business support to entrepreneurs with ventures designed to solve social problems. Together with our partners, we help ambitious entrepreneurs scale their ventures nationally and internationally to achieve maximum social impact. ",01 December 2014,Open
Ben & Jerry,http://www.benjerry.co.uk/values/join-our-core,Join Our Core,"Europe ex UK, United Kingdom","Ireland, Denmark, Sweden, Holland",,"For-profit, non-profit",Grant,,,,8000,"Ben & Jerry’s ‘Join Our Core’ competition is looking for businesses which are socially responsible and bringing about positive change in their communities Industry: Sustainable, socially responsible business Who can apply: Businesses offering products that are in long-term demand in their local area and that have a positive social impact as well as a clear environmental awareness Location: UK, Ireland, Denmark, Sweden & the Netherlands Prize: € 10,000 as well as six months of mentoring from Ashoka, 10 days of social business knowledge sharing and working with local farmers in Uganda with VSO and advertisement of your business on Ben & Jerry’s new flavour of ice cream ",01 December 2014,Open
Global Social venture,http://gsvc.org/compete/overview/,Competition,"United Kingdom, Europe ex UK, US, Global",,,"For-profit, non-profit",Grant,,,,30000,"The Global Social Venture Competition is the world’s preeminent social venture competition providing aspiring entrepreneurs with mentoring, exposure, and $50,000 in prize money to transform their business ideas into positive real-world impact.
 
GSVC leads entrant teams through an experiential learning process to develop innovative, scalable solutions to the world’s greatest challenges.  Through our global network of 13 partner schools and competitions, we give teams the connections, support, and exposure needed to advance their social ventures.
 
The competition occurs over three rounds. The first two rounds are run through the GSVC global partner schools and competitions. During each round of the competition, social entrepreneurs present the social, financial, and environmental values of their business, gaining valuable feedback from and exposure to some of the greatest minds in social innovation. ",01 December 2014,Open
School for Social Entrepreneurs,http://www.the-sse.org/schools/19/sse-london/177/fellowship-start-up-course,Fellowship Startup Course,United Kingdom,"England, Scotland, Wales, Ireland",,"For-profit, non-profit","Grant, Support",,,,8500,"The Fellowship Course runs over a 9 month period, with 20 total contact days.  The emphasis is placed on 'learning by doing' - taking the skills that you learn on the Fellowship Course and putting them into use within your social enterprise.

The course can be demanding, but we know it works - in an independent evaluation, 97% of students said they would recommend the SSE approach, and many found it a transforming experience.  The course is made up of 4 elements that will help you develop both your project and yourself:

Expert witness sessions
Action Learning Teams
Project visits 
Mentoring sessions
- See more at: http://www.the-sse.org/schools/19/sse-london/177/fellowship-start-up-course#sthash.7TAkDhEr.dpuf Each place on the Fellowship Course is worth £8,500 however the bulk of this is kindly provided through our corporate supporters.  Successful applicants are required to pay a minimum contribution in line with their circumstances; however we don't allow fees to be a barrier for anyone taking part in the Fellowship Course.

Unemployed: A contribution of £180 

In employment: A contribution of £450

- See more at: http://www.the-sse.org/schools/19/sse-london/177/fellowship-start-up-course#sthash.7TAkDhEr.dpuf",01 December 2014,Open
Local Partnerships,http://localpartnerships.org.uk/our-work/investment-reform/tsf,Technology Spin Outs  Fund,United Kingdom,"England, Scotland, Wales, Ireland",,"For-profit, non-profit",Loans,,,250000,1000000,This new initiative will enable public sector spin-outs access loans of between £250 thousand and £1 million for investment in technology to improve services in health and social care.    ,01 December 2014,Open
NESTA Investment Management,http://www.nestainvestments.org.uk/,Impact Investment Fund,United Kingdom,"England, Scotland, Wales, Ireland",,"For-profit, non-profit","Loans, Equity",,,150000,1000000,"We invest in social ventures with innovative products or services that are addressing some of the UK’s most pressing challenges.

In particular, we are seeking innovations that have a positive impact on:

the health and wellbeing of an ageing population;
the educational attainment and employability of children and young people; and
the social and environmental sustainability of communities.
We are looking for organisations that have high potential social impact that can be evidenced, and a financially viable business model capable of producing a return on our investment. ",01 December 2014,Open
PURE Leapfrog,http://www.pureleapfrog.org/page.jsp?id=76,Community Energy Fund,United Kingdom,"England, Scotland, Wales, Ireland",,Non-profit,Loans,10,5%,10000,,"Eligible technologies include all technologies eligible for FIT or RHI, as well as LEDs.
Eligible organisations include charities, not-for-profit organisations, community co-operatives, and any organisation operated for community benefit.
Projects must deliver measurable community benefits, including confirmation of use of financial surpluses from the project.
Funds may be used to finance a new installation, under-write a community share issue, or refinance an existing installation in order to fund new installations. ",01 December 2014,Open
Ananda Ventures,http://www.socialventurefund.com/eng/social_venture_fund/our_mission/,Social Venture Fund II,"United Kingdom, Europe ex UK, US, Global",,,"For-profit, non-profit","Loans, Equity",,,300000,1500000,"The Social Venture Fund invests in social enterprises, which have innovative and entrepreneurial driven solutions for urgent social and environmental challenges. The Social Venture Fund’s goal: To return the invested capital for future investments. This way, the power of the capital and not the capital itself is used for a positive impact.  We are always looking for exceptional social entrepreneurs from all around the world. Ventures, which are supported by the Social Venture Fund, must have proven success on the market (proof-of-concept) and also be willing and able to expand. The guidelines as to how we evaluate a venture can be found under the section “INVESTMENT CRITERIA”",01 December 2014,Open
Co-operative & Community Finance,http://www.coopfinance.coop/borrow/,Loan Fund,United Kingdom,"England, Scotland, Wales, Ireland",,"For-profit, non-profit",Loans,,,10000,150000,"lend to organisations that are owned and democratically controlled by their members, who are usually either employees, customers or members of a community.
Loans from £10,000 to £75,000 are readily available, and we are able to lend up to £150,000 using other funds. We do not require personal guarantees.

We manage a range of loan funds throughout the UK, and currently have around £4m available to lend.  Our staff will be glad to advise on the availability of specific funds and the most suitable forms of finance for your business. ",01 December 2014,Open
Ignite,http://ignitesocialenterprise.com/,Energy Impact Investment Fund,United Kingdom,"England, Scotland, Wales, Ireland",,"For-profit, non-profit","Loans, Equity",,,50000,2000000,"We invest people and money into emerging and mature organisations that have a clear vision of how they benefit society. By focusing on energy, we’re driving innovation at every point of the energy chain – from sourcing and generation through to supply, service and saving energy. And by investing in social enterprises we’re making a positive impact on employment, income, housing and local communities.

As well as providing capital, we work to understand the specific needs of each of our investments and help them grow through mentorship, networking and the skilled support of Centrica employees.

Thanks to our backing from Centrica, we’re providing funding of £10 million over the next ten years, and will make investments in the UK of between £50k and £2m. To be eligible for funding and support your business must:

Be in the energy or energy-related sector
Have the potential to make a real social impact in the UK
Be seeking a minimum of £50k of Loans or equity investment
Fulfill a clear social need and demand
Have clear outputs and goals
",01 December 2014,Open
RBS,http://www.inspiringenterprise.rbs.com/inspiring-social/microfinance-fund,Microfinance Fund,United Kingdom,"England, Scotland, Wales, Ireland",,"For-profit, non-profit",Loans,,,30000,1000000,"RBS has a strong heritage supporting community-based businesses. Through RBS MicroFinance Funds (MFF), we are building on that support, helping potential and existing social entrepreneurs who are unable to access sufficient finance through mainstream channels.

We will look to support viable charities, social enterprises, community interest companies and co-operatives who are sustainable, deliver high levels of social value and are investment ready.

The MFF is offering Loan Funding of between £30,000 and £1m, depending on the type of organisation, to enable Social Enterprises to gain the finance they need to expand their market.

There is no deadline to apply, and applications for loan funding are open all year round. ",01 December 2014,Open
Ulster Community,http://www.ucitltd.com/ni-about-us.html,Investment Trust,United Kingdom,Ireland,,"For-profit, non-profit","Loans, Equity",,,,,"Ulster Community Investment Trust Ltd (UCIT) was established in 1995 in response to decreasing grant support from government and the difficulties experienced by community organisations in accessing commercial loan facilities. The organisation now stands as the key provider of social finance, free advice, business support and mentoring to the social economy sector in Northern Ireland and the Republic of Ireland.
As a registered charity, all profits generated by UCIT are recycled for reinvestment into the community and social enterprise sector. ",01 December 2014,Open
Social Incubator Fund,http://bethnalgreenventures.com/apply,Bethnal Green Ventures,United Kingdom,England,London,"For-profit, non-profit","Equity, Support",,,,15000,"Bethnal Green Ventures is an accelerator programme for people who want to change the world using technology.
We invest in and support great teams with new ideas to help build solutions to social and environmental problems through an intensive three-month programme. Bethnal Green Ventures seeks out people with great ideas: they might be software developers, designers or people with personal experience of something they want to change – from teachers and doctors, to patients and carers. We look for very early-stage ideas – not business plans – and we’re more interested in potential than experience.
We select teams of between two and four people to be part of the Bethnal Green Ventures programme. We invest £15,000 in each team in exchange for 6% equity. We provide three month programme of support and advice to help build, test and launch each startup.",01 December 2014,Open
Community Development Finance Association (CDFA),http://www.cdfa.org.uk/funding-and-development/start-up-loans/,Start up loans,United Kingdom,"England, Scotland, Wales, Ireland",,"For-profit, non-profit","Loans, Support",3,6%,250,,Provising start up loans for businesses across the UK.  Need to apply to local partner.,01 December 2014,Open
Business Enterprise Fund,http://www.befund.org/,Start up loans,United Kingdom,England,"Calderdale, Kirklees, Harrogate & Ripon, Hambleton, Craven, Leeds, Bradford, York, North Yorkshire","For-profit, non-profit","Loans, Support",3,6%,250,,Provising start up loans for businesses across the UK.  ,01 December 2014,Open
Coventry & Warwickshire Reinvestment Trust,http://www.cwrt.uk.com/,Start up loans,United Kingdom,England,"Coventry, Warwickshire","For-profit, non-profit","Loans, Support",3,6%,250,,Provising start up loans for businesses across the UK.  ,01 December 2014,Open
DSL Business Finance,http://www.dsl-businessfinance.co.uk/,Start up loans,United Kingdom,Scotland,Scotland,"For-profit, non-profit","Loans, Support",3,6%,250,,Provising start up loans for businesses across the UK.  ,01 December 2014,Open
Enterprise Northern Ireland,http://www.enterpriseni.com/,Start up loans,United Kingdom,Ireland,Northern Ireland,"For-profit, non-profit","Loans, Support",3,6%,250,,Provising start up loans for businesses across the UK.  ,01 December 2014,Open
Finance for Enterprise,http://finance-for-enterprise.co.uk/,Start up loans,United Kingdom,England,"South Yorkshire, Sheffield","For-profit, non-profit","Loans, Support",3,6%,250,,Provising start up loans for businesses across the UK.  ,01 December 2014,Open
Five Lamps,http://www.fivelamps.org.uk/,Start up loans,United Kingdom,England,"Tees valley, Durham","For-profit, non-profit","Loans, Support",3,6%,250,,Provising start up loans for businesses across the UK.  ,01 December 2014,Open
Foundation East,http://www.foundationeast.org/,Start up loans,United Kingdom,England,East Anglia,"For-profit, non-profit","Loans, Support",3,6%,250,,Provising start up loans for businesses across the UK.  ,01 December 2014,Open
HBV Enterprise,http://www.hbv.org.uk/,Start up loans,United Kingdom,England,"Hackney, Haringey, Tower Hamlets, Islington, London","For-profit, non-profit","Loans, Support",3,6%,250,,Provising start up loans for businesses across the UK.  ,01 December 2014,Open
Impetus,http://www.impetus-marches.co.uk/,Start up loans,United Kingdom,England,"Shropshire, Telford & Wrekin, Herefordshire, Worcestershire","For-profit, non-profit","Loans, Support",3,6%,250,,Provising start up loans for businesses across the UK.  ,01 December 2014,Open
Lancashire Community Finance,http://www.lancashirecommunityfinance.co.uk/,Start up loans,United Kingdom,England,"Lancashire, Preston, South Ribble, West Lancashire, Lancaster & Chorley, Leyland, Chorley, Skelmersdale, Ormskirk, Wigan, St Helens, Southport Lancaster, Morecambe","For-profit, non-profit","Loans, Support",3,6%,250,,Provising start up loans for businesses across the UK.  ,01 December 2014,Open
MCF Loans,http://www.mcfloans.co.uk/,Start up loans,United Kingdom,England,East midlands,"For-profit, non-profit","Loans, Support",3,6%,250,,Provising start up loans for businesses across the UK.  ,01 December 2014,Open
Merseyside Special Investment Fund,http://www.msif.co.uk/,Start up loans,United Kingdom,England,"Greater Merseyside and its boundary – Liverpool, Sefton, Knowsley, St Helens, Halton, Wirral","For-profit, non-profit","Loans, Support",3,6%,250,,Provising start up loans for businesses across the UK.  ,01 December 2014,Open
Northern Pine Trees,http://www.northernpinetreetrust.co.uk/,Start up loans,United Kingdom,England,"Tees Valley and County Durham, Newcastle, North & South Tyneside, Northumberland","For-profit, non-profit","Loans, Support",3,6%,250,,Provising start up loans for businesses across the UK.  ,01 December 2014,Open
Robert Owen Community Banking,http://rocbf.co.uk/,Start up loans,United Kingdom,Wales,,"For-profit, non-profit","Loans, Support",3,6%,250,,Provising start up loans for businesses across the UK.  ,01 December 2014,Open
Future Business,http://www.futurebusiness.co.uk/businesssupport/business-growth-and-development-programme/,Business Support,United Kingdom,England,East of England,"For-profit, non-profit",Support,,,,,"Future Business is a charitable organisation and social enterprise based in Cambridge providing business support across the East of England.

Future Business aims to help businesses to have a better future. But more than this, we want to help businesses to make a better future for everyone. In our view every business – whether run for commercial profit or for a social or environmental outcome – can achieve a greater social impact.

 We specialise in helping those with a social or environmental mission – our enterprise support agency brings together all the essentials every organisation needs – business advice, coaching, impact measurement and affordable workspace.

We can help you whoever you are and whatever your organisation is – whether you’re an entrepreneur, a social enterprise, a start-up business, a charity or a voluntary organisation – we’d love to hear from you.

Future Business is an initiative of Allia Ltd.",01 December 2014,Open
Social Incubator Fund,http://socialincubatornorth.org.uk/the-fund/,Social Incubator North,United Kingdom,England,North Engalnd,"For-profit, non-profit","Loans, Support",3,0%,,25000,"Social Business is simply business with soul and heart, looking at creating or building enterprises that offer real community, social, environmental benefit. A ground-breaking £2m incubator fund is offering 0% interest loans to social entrepreneurs across the East Midlands and North of England.  Social Incubator North is led by Sheffield-based Key Fund, in collaboration with Locality
and the four northern regional Social Enterprise Partnerships. The programme will provide
investment into local start-up or expanding social ventures and offer a period of intensive
support. This will help turn early stage ideas into successful businesses, by giving social
entrepreneurs access to the resources they need to get their social ventures off the
ground.",01 December 2014,Open
Social Incubator Fund,http://wayra.co/,Wayra,"United Kingdom, Europe ex UK, US, Global",,,"For-profit, non-profit","Grant, Equity, Support",,,,40000,"Wayra UnLtd is a partnership between UnLtd and Wayra, Telefonica‟s global technology incubator. Over two years they will identify and support three cohorts of 10 up and coming social entrepreneurs who use digital technologies to deal with environmental, health and education-based issues, and accelerate their entry to market. Each cohort will receive a £40,000 convertible note and join the purpose-built Wayra UnLtd Academy. ",01 December 2014,Open
Social Incubator Fund,http://solvetogether.org/about/,Solve Together,United Kingdom,England,London,"For-profit, non-profit",Grant,,,,40000,"We work with teams who want to build a great business, product or service that aims to solve a problem that matters.

We help by investing in these teams – up to £40,000 – and give each team office space, access to amazing mentors and learning on how to build a great business. All of this happens over a few months. It’s an intensive way to start up, and that why it’s usually called an accelerator.  We build Foundries because we do more than just accelerate. We forge new ways of working and new markets.

Our Foundries  are built for system change – to build rich and diverse markets, thriving small business ecosystems, and open, ethical supply chains. We root our work in the communities in which we work, always collaborating with local and domain expert partners to deliver maximum impact. ",01 December 2014,Open
Plunkett Foundation,http://www.plunkett.co.uk/whatwedo/growinglivelihoods.cfm,Growing Livelihoods,United Kingdom,,,"For-profit, non-profit","Grant, Support",,,,,"Growing Livelihoods is a new initiative which will work to create, test and promote new opportunities in smaller-scale food growing for those new to the sector, young people or those seeking a new direction.  This initiative has a particular focus on the use of co-operation and innovation to help create viable livelihoods in this sector.

Growing Livelihoods is a two year (2014/2015) development partnership project between the Carnegie UK Trust, Plunkett Foundation and the Land Settlement Association Charitable Trust.  It builds on a connection starting in 1934 through the Land Settlement Association, a pioneering scheme which enabled thousands of people to achieve livelihoods as food growers which they would not have been able to achieve alone. ",16 January 2015,Open
Queen Elizabeth Scholarship Trust,http://www.qest.org.uk/,Scholarships for Crafts People & Artisan / Food & Farming,United Kingdom,,,"For-profit, non-profit","Grant, Support",,,,,"Applications are now open for the Spring 2015 round of funding. The closing date for applications is Wednesday 21st January 2015 at 2pm. Interviews, should your application be successful, will take place on the week commencing 13th April 2015.  ",16 January 2015,Open
Green Flag,http://www.greenflagaward.org.uk/awards/community-award/,Community Award Scheme,United Kingdom,,,Non-profit,Grant,,,,,"The Green Flag Community Award® is a national award that recognises high quality green spaces in the UK that are managed by voluntary and community groups. The Award is part of the Green Flag Award® scheme, the national standard for quality parks and green spaces.

The scheme realises that all green spaces are different so each site is judged on its own merits and suitability to the community it serves. Awards are given on an annual basis and winners must apply each year to renew their Community Award status.
 
All community green spaces are eligible to enter, as long as they are freely accessible to all and unlocked as much as possible although we understand this may not be every day and may be limited to regular, advertised open days.  ",16 January 2015,Open
Trust For London,http://www.trustforlondon.org.uk/,Employment,United Kingdom,England,London,,Grant,,,,100000, ,16 January 2015,Open
Trust For London,http://www.trustforlondon.org.uk/,Advice,United Kingdom,England,London,,Grant,,,,100000, ,16 January 2015,Open
Trust For London,http://www.trustforlondon.org.uk/,Social Justice,United Kingdom,England,London,,Grant,,,,100000, ,16 January 2015,Open
Trust For London,http://www.trustforlondon.org.uk/,Violence,United Kingdom,England,London,,Grant,,,,100000, ,16 January 2015,Open
Trust For London,http://www.trustforlondon.org.uk/,Small Groups,United Kingdom,England,London,,Grant,,,,100000, ,16 January 2015,Open
SuperConnected Cities,https://www.connectionvouchers.co.uk,SuperConnected Cities,United Kingdom,"England, Scotland, Wales, Ireland",,"For-profit, non-profit",Grant,,,,,"Government grants to boost broadband of SMEs in 22 cities: Aberdeen, Belfast, Birmingham, Brighton and Hove, Bristol, Cambridge, Cardiff, Coventry, Derby, Derry/Londonderry, Edinburgh, Leeds and Bradford,, Liverpool, London, Manchester, Newcastle, Newport, Nottingham, Oxford, Perth, Portsmouth, Salford, York ",16 January 2015,Open
Chivas,https://www.theventure.com/gb/en,The Venture,United Kingdom,,,,Grant,,,,," ""a million dollar fund. A mission to make a positive global change. An incredible opportunity for start ups that do good. ""We're looking for existing start-ups or start up ideas that can demonstrate how they are using business to turn a profit and create a positive impact.
What we mean by a positive impact is that the business or business idea must in some way contribute to the environment, operate ethically or create social value for others.
The person filling out the application form and representing the business or idea must be at least 25 years of age. They can fill out the form either on behalf of an established business (if they have the power to bind the business) or as an individual with a business idea.

Win A SHARE OF THE $1MILLION FUND ",16 January 2015,Open
Big Lottery,https://www.growwilduk.com/get-funding,Grow Wild,United Kingdom,,,,Grant,,,1000,4000,"Funding for community growing
Grow Wild is awarding of £1,000 to £4,000 to community groups that want to bring people together to transform a communal space by sowing and growing native plants. ",16 January 2015,Open
Veolia Environmental Trust,http://www.veoliatrust.org/funding,Veolia Environmental Trust,United Kingdom,,,Non-profit,Grant,,,,,"We are a Distributive Environmental Body that awards grants to support the natural, social and built environment as part of the Landfill Communities Fund (LCF).
We have been doing this for over 16 years. Since we were established in 1997, Veolia has supported us by contributions of over £58 million to 1790 projects. These have included the repair of woodland footpaths, the renovation of community halls and the installation of playgrounds and play areas. 

We can only consider your idea if our postcode locator shows that your proposed project is in the proximity of a qualifying Veolia site.  
We can only fund projects that comply with the Objects of the Landfill Communities Fund.
Additionally, we have our own criteria governing what we wish to consider funding. We support projects that protect, preserve and maintain the natural, social and built environment. 
Applicants need to be constituted, not-for-profit organisations – from small community groups to larger ones such as Wildlife Trusts.  ",16 January 2015,Open
Lush,https://www.lush.co.uk/article/charity-pot-funding-guidelines,Lush Charity Pot,"United Kingdom, Europe ex UK, US, Global",,,Non-profit,Grant,,,,,"The majority of our funding is allocated to small, grassroots groups that are often best placed to make a real difference with limited resources and often struggle to find funding.We support small, grassroots organisations around the world working in the following areas: environment; animal protection; and human rights. ",16 January 2015,Open
Business In The Community,http://www.bitcarc.org.uk/applytojoinarc,BITarc,United Kingdom,England,London,,Support,,,,,"We combine expert advice from our business partners and a carefully selected partner network to deliver the exact support you need.

We will work with you to develop new business opportunities with business and government.

Our support will also help you to win investment and access new finance through our finance partners.To join the arc programme, a social enterprise must:      be a business with a social or environmental purpose at its heart and have this social and/or environmental mission written into its constitutional documents     be financially self-sustaining, or at least have solid plans for achieving financial sustainability in the future (i.e. not reliant on grants or donations) and     have the potential to grow and create jobs for East and/or West London borough residents. ",16 January 2015,Open
Big Lottery,http://www.biglotteryfund.org.uk/global-content/programmes/england/building-better-opportunities ,Building Better Opportunities ,United Kingdom,,,,Grant,,,,,"Subject to approval from the European Commission later this year, Big Lottery Fund is planning to put up to £250m of Lottery funds against a similar figure from the European Social Fund (ESF) 2014-2020 in order to support communities and people most in need across England.

We are offering funding for projects delivering against the ‘Promoting Social Inclusion and Combating Poverty’ part of ESF, as this aligns well with our own mission and priorities. The funding will be delivered in Local Enterprise Partnership (LEP) areas according to local priorities, which have been set by the LEPs, and could support projects ranging from improving employability for the most disadvantaged, helping those with multiple and complex needs, or improving financial literacy. LEP area partnerships have made provisional decisions about how much of their ESF allocation to devote to this strand of work, meaning that the amount of main funding available will vary widely across different areas.

Ahead of the main funding becoming available from 2015, Big Lottery Fund has awarded Lottery development funding in each of the LEP areas we are working with.

    Black Country, Cheshire and Warrington, Coast to Capital, Cornwall and Isles of Scilly, Coventry and Warwickshire, Cumbria, Derby, Derbyshire, Nottingham & Nottinghamshire, Dorset, Enterprise M3, Gloucestershire, Greater Cambridge Greater Peterborough, Greater Lincolnshire, Greater Manchester, Heart of South West, Hertfordshire, Humber, Lancashire, Leeds City Region, Leicester and Leicestershire, Liverpool City Region, London, New Anglia, North East, Northamptonshire, Oxfordshire, Sheffield City Region, South East, South East Midlands, Stoke-on-Trent and Staffordshire, Swindon and Wiltshire, Tees Valley, Thames Valley Berkshire, The Marches, West of England, Worcestershire, York, North Yorkshire & East Riding ",16 January 2015,Open
Plunkett Foundation,http://www.plunkett.co.uk/whatwedo/rcs/ruralcommunityshops.cfm,Community Shops,United Kingdom,,,Non-profit,Support,,,,,"Are you about to lose your village shop and want to consider community ownership as a way of saving it? Do you already have a community-owned shop and want support to make sure it thrives? We can help! 

Plunkett Foundation is the only national organisation supporting the development of community shops in the UK. Through specialist support programmes, regional community advisers, mentors and experts, as well as online, telephone and email support, we are able to help communities to open new community-owned shops and existing ones to thrive. Plunkett hosts a dedicated website for community shops at www.communityshops.coop where you can access an up to date directory of all community shops trading in the UK, as well as an interactive forum, and wide range of tools and resources.  ",16 January 2015,Open
Plunkett Foundation,http://www.plunkett.co.uk/whatwedo/Co-operativepubs.cfm,Co-operative Pubs,United Kingdom,,,Non-profit,Support,,,,,"The Plunkett Foundation helps communities to save their pub as a co-operative venture and provides support from the initial stages of a pub being under threat to providing ongoing support to established pubs. We operate a Co-operative Pubs Advice Line, funded by the Department for Communities and Local Government.

Through specialist support programmes, regional community advisers, mentors and experts, as well as online, telephone and email support, we are able to help communities to set up co-operative pubs and help existing ones to thrive. Plunkett also hosts a dedicated website for co-operative pubs (www.pubs.coop) where you can access an up to date directory of all co-operative pubs trading in the UK, as well as an interactive forum, and wide range of tools and resources.  ",16 January 2015,Open
Plunkett Foundation,http://www.plunkett.co.uk/whatwedo/PlunkettIreland.cfm,Plunkett Ireland,United Kingdom,Ireland,,Non-profit,Support,,,,,"Plunkett Ireland is a newly emerging service for communities in Ireland considering setting up a community-owned co-operative. As a fledgling service, support is limited at the current time, but we are actively exploring ways of increasing support available. We can currently offer communities:

A fact sheet advising on the process of setting up a community co-operative in Ireland
Access to a range of tools and resources on setting up and running community co-operatives
Signposting to other established community co-operatives
Online and telephone advice and support provided by our staff team. ",16 January 2015,Open
Plunkett Foundation,http://www.plunkett.co.uk/aboutus/PlunkettScotland.cfm?frmAlias=/plunkettscoltland/,Plunkett Ireland,United Kingdom,Scotland,,Non-profit,Support,,,,,"Plunkett Scotland was established in January 2013 to develop further the range of community ownership services for Scotland and in recognition of the distinctive social, legal and economic landscape north of the Border. Plunkett Scotland actively ‘inspires’ more communities to consider community ownership and to use it to address a wider range of issues in addition to local retailing. This is needs-led and includes services such as cafés, libraries, pubs, and fuel pumps. Plunkett Scotland develops networking opportunities for community-owned services helping them to feel part of a wider sector and to facilitate greater learning, and, sharing of best practice. Plunkett Scotland is supported by an Advisory Group which consists of leading organisations from the sector including Carnegie UK Trust, SAOS, SRUC, Co-operative Group and Community Health Scotland. ",16 January 2015,Open
Plunkett Foundation,http://www.plunkett.co.uk/whatwedo/WoodlandSocEntNetwork.cfm,Woodland Social Enterprise Network,United Kingdom,,,Non-profit,Support,,,,,"The Woodland Social Enterprise Networkis a growing network of people and organisations with an interest in woodland management, community-ownership and management of assets and social enterprise approaches. The network includes organisations from across the UK, a number of new and existing woodland social enterprises and individuals with an interest in this work.

The network came together at our first meeting in December 2012 and meets around two to four times a year. We also have a mailing list in order to share relevant informaiton with interested people.

We're working together to try to share new ideas and developing ideas for helping to support the growing number of woodland social enterprises.  The network provides a voice to government, and is represented on the National Forestry Forum.  Our work is also mentioned in the Government's Forestry and Woodland Statement: One Year On report. ",16 January 2015,Open
Lloyds Bank Foundation,http://www.lloydsbankfoundation.org.uk/our-programmes/invest,Invest Fund,United Kingdom,,,Non-profit,Grant,,,,150000,"Invest provides longer term core or delivery funding for charities which meet the programme aim and are delivering clear outcomes as a result of their work. These grants are up to £25,000 per year for two or three years, with the opportunity for continuation funding for a further period – up to six years in total. ",16 January 2015,Open
Lloyds Bank Foundation,http://www.lloydsbankfoundation.org.uk/our-programmes/enable,Enable Fund,United Kingdom,,,Non-profit,Grant,,,,15000,"Enable provides smaller, shorter term grants to strengthen charities which meet the programme aim, helping them to deliver their mission more effectively. Grants are awarded to charities which have identified clear development needs. These grants are up to a total £15,000 over two years. ",16 January 2015,Open
Big Lottery,http://www.biglotteryfund.org.uk/global-content/programmes/england/reaching-communities-buildings-england,Reaching Communities Buildings,United Kingdom,England,,Non-profit,Grant,,,,15000,"The buildings strand of Reaching Communities provides funding for land and buildings projects costing more than £100,000. It can also provide revenue funding to help to get the building running and deliver project activities.  ",16 January 2015,Open
Plunkett Foundation,http://www.communityshops.coop/urban,Our Urban Shop,United Kingdom,,,Non-profit,"Grant, Support",,,5000,60000,"Our Urban Shop is a unique pilot project that aims to help urban communities in the UK overcome the issues of buying good food locally.

 The pilot will build on the success of community owned shops in rural areas (317 rural community shops currently trading across the UK) which have a 95% long-term survival rate, as well as utilise the knowledge and experience of urban community shops that are already trading.  ",16 January 2015,Open
NCVO,http://www.ncvo.org.uk/practical-support/funding,Sustainable Funding,United Kingdom,,,Non-profit,Support,,,,,Big array of support for people looking for funding both in terms of reference material & direction. Take a look at the website for more. ,16 January 2015,Open
RSA,http://www.thersa.org/fellowship/catalyst,Catalyst,United Kingdom,,,"For-profit, non-profit","Grant, Support",,,1000,7000,"RSA Catalyst provides money, expertise and crowdfunding to Fellows looking to turn their ideas into reality and improve the world around them. We give £100,000 every year in grants, connect project leaders to support from within the Fellowship and can help you to run crowdfunding campaigns. They also provide Skillsbank where fellows volunteer their time to help you get your project off the ground. ",16 January 2015,Open
Henry Smith Charity,http://www.henrysmithcharity.org.uk/grants.html,Social & Economic Disadvantage,United Kingdom,,,Non-profit,"Grant, Support",,,10000,,"he Henry Smith Charity makes grants for work throughout the UK, the Isle of Man and the Channel Islands.
Applications can be made for revenue funding (projects, running costs) and capital expenditure (buildings, equipment).
Priority is given to work with groups experiencing social and/or economic disadvantage (people with disabilities, for example) and to work that tackles problems in areas of high deprivation (by which we mean those that fall within the bottom third of the National Indices of Deprivation).  ",16 January 2015,Open
Institute of Enterprise & Entrepreneurship,www.ioee.co.uk,Business Support,United Kingdom,,,"For-profit, non-profit",Support,,,,,"Website linking mentors and start-up enterprises – structured into groups by region and different themes (women, social enterprise, etc) ",16 January 2015,Open
RSA SkillsBank,http://www.thersa.org/fellowship/skills-bank,Business Support,United Kingdom,,,"For-profit, non-profit",Support,,,,,Individual mentors  – although they are usually related to supporting the realisation of specific  projects that the RSA are supporting through their Catalyst grants programme  ,16 January 2015,Open
Unltd Pro Bono and Volunteering,http://unltd.org.uk/partners/mentoring-social-entrepreneurs/,Business Support,United Kingdom,,,"For-profit, non-profit",Support,,,,,"Various: in-person, phone, email, LinkedIn group and on-line webinars – in addition, many mentors are employed within large professional services firms (accountants and solicitors) ",16 January 2015,Open
Prince’s Youth Business Trust,http://www.princes-trust.org.uk/need_help/enterprise_programme/about_the_enterprise_programme.aspx,Business Support,United Kingdom,,,"For-profit, non-profit",Support,,,,,In person – but focussed primarily on start-ups ,16 January 2015,Open
